[2025-06-28T15:21:29.101774] ADD | 10.0, 5.0 => 15.0
[2025-06-28T23:20:12.027458] ADD | 1.0, 1.0 => 2.0
[2025-06-28T23:26:53.197676] ADD | 2.0, 3.0 => 5.0
[2025-06-28T23:26:53.229358] ADD | 1.0, 1.0 => 2.0
[2025-06-28T23:35:38.798078] ADD | 2.0, 3.0 => 5.0
[2025-06-28T23:35:38.841923] ADD | 1.0, 1.0 => 2.0
[2025-06-29T00:11:06.001510] ADD | 2.0, 3.0 => 5.0
[2025-06-29T00:11:06.038851] ADD | 1.0, 1.0 => 2.0
[2025-06-29T00:11:06.274263] ADD | 1, 2 => 3
[2025-06-29T00:15:16.549821] ADD | 2.0, 3.0 => 5.0
[2025-06-29T00:15:16.584441] ADD | 1.0, 1.0 => 2.0
[2025-06-29T00:15:16.815601] ADD | 1, 2 => 3
[2025-06-29T00:17:39.245363] ADD | 2.0, 3.0 => 5.0
[2025-06-29T00:17:39.303930] ADD | 1.0, 1.0 => 2.0
[2025-06-29T00:17:39.603666] ADD | 1, 2 => 3
[2025-06-29T00:18:47.543298] ADD | 2.0, 3.0 => 5.0
[2025-06-29T00:18:47.580014] ADD | 1.0, 1.0 => 2.0
[2025-06-29T00:18:47.683223] ADD | 1, 2 => 3
[2025-06-29T00:21:29.518779] ADD | 2.0, 3.0 => 5.0
[2025-06-29T00:21:29.551833] ADD | 1.0, 1.0 => 2.0
[2025-06-29T00:21:29.824406] ADD | 1, 2 => 3
[2025-06-29T00:25:14.157408] ADD | 2.0, 3.0 => 5.0
[2025-06-29T00:25:14.189888] ADD | 1.0, 1.0 => 2.0
[2025-06-29T00:25:14.315253] ADD | 1, 2 => 3
[2025-06-29T00:41:41.763698] ADD | 2.0, 3.0 => 5.0
[2025-06-29T00:41:41.795638] ADD | 1.0, 1.0 => 2.0
[2025-06-29T00:41:41.914688] ADD | 1, 2 => 3
[2025-06-29T00:43:03.247738] ADD | 2.0, 3.0 => 5.0
[2025-06-29T00:43:03.274551] ADD | 1.0, 1.0 => 2.0
[2025-06-29T00:43:03.388586] ADD | 1, 2 => 3
[2025-06-29T00:48:48.318233] ADD | 2.0, 3.0 => 5.0
[2025-06-29T00:48:48.345600] ADD | 1.0, 1.0 => 2.0
[2025-06-29T00:48:48.405990] ADD | 1.0, 2.0 => 3.0
[2025-06-29T00:48:48.540867] ADD | 1.0, 2.0 => 3.0
[2025-06-29T00:48:48.649881] ADD | 1, 2 => 3
[2025-06-29T00:50:44.126142] ADD | 2.0, 3.0 => 5.0
[2025-06-29T00:50:44.156837] ADD | 1.0, 1.0 => 2.0
[2025-06-29T00:50:44.202914] ADD | 1.0, 2.0 => 3.0
[2025-06-29T00:50:44.316646] ADD | 1.0, 2.0 => 3.0
[2025-06-29T00:50:44.388300] ADD | 1, 2 => 3
[2025-06-29T00:55:02.837457] ADD | 2.0, 3.0 => 5.0
[2025-06-29T00:55:02.846277] ADD | 1.0, 1.0 => 2.0
[2025-06-29T00:55:02.863045] ADD | 1.0, 2.0 => 3.0
[2025-06-29T00:55:02.914351] ADD | 1.0, 2.0 => 3.0
[2025-06-29T00:55:02.942443] ADD | 1, 2 => 3
[2025-06-29T00:57:34.872060] ADD | 2.0, 3.0 => 5.0
[2025-06-29T00:57:34.881475] ADD | 1.0, 1.0 => 2.0
[2025-06-29T00:57:34.901602] ADD | 1.0, 2.0 => 3.0
[2025-06-29T00:57:34.955595] ADD | 1.0, 2.0 => 3.0
[2025-06-29T00:57:34.979683] ADD | 1, 2 => 3
[2025-06-29T00:59:04.553535] ADD | 2.0, 3.0 => 5.0
[2025-06-29T00:59:04.562160] ADD | 1.0, 1.0 => 2.0
[2025-06-29T00:59:04.579806] ADD | 1.0, 2.0 => 3.0
[2025-06-29T00:59:04.582841] ADD | 1.0, 2.0 => 3.0
[2025-06-29T00:59:04.608044] ADD | 1, 2 => 3
[2025-06-29T01:06:22.873262] ADD | 2.0, 3.0 => 5.0
[2025-06-29T01:06:22.882082] ADD | 1.0, 1.0 => 2.0
[2025-06-29T01:06:22.901538] ADD | 1.0, 2.0 => 3.0
[2025-06-29T01:06:22.905109] ADD | 1.0, 2.0 => 3.0
[2025-06-29T01:06:22.981056] ADD | 1, 2 => 3
[2025-06-29T01:09:35.134037] ADD | 2.0, 3.0 => 5.0
[2025-06-29T01:09:35.144320] ADD | 1.0, 1.0 => 2.0
[2025-06-29T01:09:35.162518] ADD | 1.0, 2.0 => 3.0
[2025-06-29T01:09:35.165454] ADD | 1.0, 2.0 => 3.0
[2025-06-29T01:09:35.243550] ADD | 1, 2 => 3
[2025-06-29T01:12:39.890077] ADD | 2.0, 3.0 => 5.0
[2025-06-29T01:12:39.899008] ADD | 1.0, 1.0 => 2.0
[2025-06-29T01:12:39.966324] ADD | 1.0, 2.0 => 3.0
[2025-06-29T01:12:39.970520] ADD | 1.0, 2.0 => 3.0
[2025-06-29T01:12:39.999149] ADD | 1, 2 => 3
[2025-06-29T01:16:39.722412] ADD | 2.0, 3.0 => 5.0
[2025-06-29T01:16:39.731565] ADD | 1.0, 1.0 => 2.0
[2025-06-29T01:16:39.808508] ADD | 1.0, 2.0 => 3.0
[2025-06-29T01:16:39.811560] ADD | 1.0, 2.0 => 3.0
[2025-06-29T01:16:39.841716] ADD | 1, 2 => 3
[2025-06-29T01:18:17.578734] ADD | 2.0, 3.0 => 5.0
[2025-06-29T01:18:17.589104] ADD | 1.0, 1.0 => 2.0
[2025-06-29T01:18:17.606596] ADD | 1.0, 2.0 => 3.0
[2025-06-29T01:18:17.609496] ADD | 1.0, 2.0 => 3.0
[2025-06-29T01:18:17.686081] ADD | 1, 2 => 3
[2025-06-29T01:30:05.713059] ADD | 2.0, 3.0 => 5.0
[2025-06-29T01:30:05.722731] ADD | 1.0, 1.0 => 2.0
[2025-06-29T01:30:05.741337] ADD | 1.0, 2.0 => 3.0
[2025-06-29T01:30:05.744109] ADD | 1.0, 2.0 => 3.0
[2025-06-29T01:30:05.768343] ADD | 1, 2 => 3
[2025-06-29T01:39:57.339420] ADD | 2.0, 3.0 => 5.0
[2025-06-29T01:39:57.350931] ADD | 1.0, 1.0 => 2.0
[2025-06-29T01:39:57.373193] ADD | 1.0, 2.0 => 3.0
[2025-06-29T01:39:57.376207] ADD | 1.0, 2.0 => 3.0
[2025-06-29T01:39:57.456844] ADD | 1, 2 => 3
[2025-06-29T01:42:35.135423] ADD | 2.0, 3.0 => 5.0
[2025-06-29T01:42:35.144465] ADD | 1.0, 1.0 => 2.0
[2025-06-29T01:42:35.162101] ADD | 1.0, 2.0 => 3.0
[2025-06-29T01:42:35.165460] ADD | 1.0, 2.0 => 3.0
[2025-06-29T01:42:35.190211] ADD | 1, 2 => 3
[2025-06-29T01:44:27.141780] ADD | 2.0, 3.0 => 5.0
[2025-06-29T01:44:27.151746] ADD | 1.0, 1.0 => 2.0
[2025-06-29T01:44:27.169453] ADD | 1.0, 2.0 => 3.0
[2025-06-29T01:44:27.172620] ADD | 1.0, 2.0 => 3.0
[2025-06-29T01:44:27.248548] ADD | 1, 2 => 3
[2025-06-29T01:46:04.877788] ADD | 2.0, 3.0 => 5.0
[2025-06-29T01:46:04.887689] ADD | 1.0, 1.0 => 2.0
[2025-06-29T01:46:04.906356] ADD | 1.0, 2.0 => 3.0
[2025-06-29T01:46:04.909277] ADD | 1.0, 2.0 => 3.0
[2025-06-29T01:46:04.985256] ADD | 1, 2 => 3
[2025-06-29T01:51:07.705409] ADD | 2.0, 3.0 => 5.0
[2025-06-29T01:51:07.715591] ADD | 1.0, 1.0 => 2.0
[2025-06-29T01:51:07.736188] ADD | 1.0, 2.0 => 3.0
[2025-06-29T01:51:07.739448] ADD | 1.0, 2.0 => 3.0
[2025-06-29T01:51:07.818469] ADD | 1, 2 => 3
[2025-06-29T01:53:55.530706] ADD | 2.0, 3.0 => 5.0
[2025-06-29T01:53:55.541363] ADD | 1.0, 1.0 => 2.0
[2025-06-29T01:53:55.559086] ADD | 1.0, 2.0 => 3.0
[2025-06-29T01:53:55.561882] ADD | 1.0, 2.0 => 3.0
[2025-06-29T01:53:55.641047] ADD | 1, 2 => 3
[2025-06-29T01:56:05.527763] ADD | 2.0, 3.0 => 5.0
[2025-06-29T01:56:05.537272] ADD | 1.0, 1.0 => 2.0
[2025-06-29T01:56:05.555230] ADD | 1.0, 2.0 => 3.0
[2025-06-29T01:56:05.558547] ADD | 1.0, 2.0 => 3.0
[2025-06-29T01:56:05.635494] ADD | 1, 2 => 3
[2025-06-29T01:57:58.530540] ADD | 2.0, 3.0 => 5.0
[2025-06-29T01:57:58.542019] ADD | 1.0, 1.0 => 2.0
[2025-06-29T01:57:58.560031] ADD | 1.0, 2.0 => 3.0
[2025-06-29T01:57:58.562725] ADD | 1.0, 2.0 => 3.0
[2025-06-29T01:57:58.593596] ADD | 1, 2 => 3
[2025-06-29T02:01:39.701434] ADD | 2.0, 3.0 => 5.0
[2025-06-29T02:01:39.711118] ADD | 1.0, 1.0 => 2.0
[2025-06-29T02:01:39.733193] ADD | 1.0, 2.0 => 3.0
[2025-06-29T02:01:39.735867] ADD | 1.0, 2.0 => 3.0
[2025-06-29T02:01:39.821906] ADD | 1, 2 => 3
[2025-06-29T02:03:41.401814] ADD | 2.0, 3.0 => 5.0
[2025-06-29T02:03:41.412295] ADD | 1.0, 1.0 => 2.0
[2025-06-29T02:03:41.430588] ADD | 1.0, 2.0 => 3.0
[2025-06-29T02:03:41.433538] ADD | 1.0, 2.0 => 3.0
[2025-06-29T02:03:41.465635] ADD | 1, 2 => 3
[2025-06-29T02:13:56.632447] ADD | 2.0, 3.0 => 5.0
[2025-06-29T02:13:56.642760] ADD | 1.0, 1.0 => 2.0
[2025-06-29T02:13:56.660526] ADD | 1.0, 2.0 => 3.0
[2025-06-29T02:13:56.663404] ADD | 1.0, 2.0 => 3.0
[2025-06-29T02:13:56.773806] ADD | 1, 2 => 3
[2025-06-29T02:17:29.601642] ADD | 2.0, 3.0 => 5.0
[2025-06-29T02:17:29.611799] ADD | 1.0, 1.0 => 2.0
[2025-06-29T02:17:29.630128] ADD | 1.0, 2.0 => 3.0
[2025-06-29T02:17:29.633121] ADD | 1.0, 2.0 => 3.0
[2025-06-29T02:17:29.722511] ADD | 1, 2 => 3
[2025-06-29T02:18:34.239275] ADD | 2.0, 3.0 => 5.0
[2025-06-29T02:18:34.261574] ADD | 1.0, 1.0 => 2.0
[2025-06-29T02:18:34.314486] ADD | 1.0, 2.0 => 3.0
[2025-06-29T02:18:34.319637] ADD | 1.0, 2.0 => 3.0
[2025-06-29T02:18:34.446670] ADD | 1, 2 => 3
[2025-06-29T02:18:58.820429] ADD | 2.0, 3.0 => 5.0
[2025-06-29T02:18:58.829485] ADD | 1.0, 1.0 => 2.0
[2025-06-29T02:18:58.846898] ADD | 1.0, 2.0 => 3.0
[2025-06-29T02:18:58.850377] ADD | 1.0, 2.0 => 3.0
[2025-06-29T02:18:58.940914] ADD | 1, 2 => 3
[2025-06-29T02:21:12.767113] ADD | 2.0, 3.0 => 5.0
[2025-06-29T02:21:12.775657] ADD | 1.0, 1.0 => 2.0
[2025-06-29T02:21:12.794990] ADD | 1.0, 2.0 => 3.0
[2025-06-29T02:21:12.798588] ADD | 1.0, 2.0 => 3.0
[2025-06-29T02:21:12.838789] ADD | 1, 2 => 3
[2025-06-29T02:26:42.508684] ADD | 2.0, 3.0 => 5.0
[2025-06-29T02:26:49.257812] SUBTRACT | 4.0, 2.0 => 2.0
[2025-06-29T02:26:55.799487] MULTIPLY | 4.0, 3.0 => 12.0
[2025-06-29T02:27:09.824640] DIVISION | 4.0, 2.0 => 2.0
[2025-06-29T02:27:33.165128] MODULUS | 10.0, 3.0 => 1.0
[2025-06-29T02:27:38.367081] POWER | 2.0, 3.0 => 8.0
[2025-06-29T02:27:45.264884] ROOT | 16.0, 2.0 => 4.0
[2025-06-29T02:28:03.389167] INT_DIVIDE | 7.0, 2.0 => 3.0
[2025-06-29T02:28:14.493536] ABS_DIFF | 5.0, 8.0 => 3.0
[2025-06-29T02:29:43.111533] ADD | 2.0, 3.0 => 5.0
[2025-06-29T03:36:03.384658] ADD | 2.0, 3.0 => 5.0
[2025-06-29T03:36:03.392764] ADD | 1.0, 1.0 => 2.0
[2025-06-29T03:36:03.408143] ADD | 1.0, 2.0 => 3.0
[2025-06-29T03:36:03.410609] ADD | 1.0, 2.0 => 3.0
[2025-06-29T03:36:03.446831] ADD | 1, 2 => 3
[2025-06-29T03:36:21.751770] ADD | 2.0, 3.0 => 5.0
[2025-06-29T03:36:21.760934] ADD | 1.0, 1.0 => 2.0
[2025-06-29T03:36:21.779084] ADD | 1.0, 2.0 => 3.0
[2025-06-29T03:36:21.781842] ADD | 1.0, 2.0 => 3.0
[2025-06-29T03:36:21.824901] ADD | 1, 2 => 3
[2025-06-29T03:38:00.264975] ADD | 2.0, 3.0 => 5.0
[2025-06-29T03:38:00.273869] ADD | 1.0, 1.0 => 2.0
[2025-06-29T03:38:00.291721] ADD | 1.0, 2.0 => 3.0
[2025-06-29T03:38:00.295371] ADD | 1.0, 2.0 => 3.0
[2025-06-29T03:38:00.364889] ADD | 1, 2 => 3
[2025-06-29T03:39:31.634019] ADD | 2.0, 3.0 => 5.0
[2025-06-29T03:39:31.644378] ADD | 1.0, 1.0 => 2.0
[2025-06-29T03:39:31.662367] ADD | 1.0, 2.0 => 3.0
[2025-06-29T03:39:31.665172] ADD | 1.0, 2.0 => 3.0
[2025-06-29T03:39:31.707508] ADD | 1, 2 => 3
